3621 20998
1788 877 0.0625
609 807 0.0625
3431 3433 0.0625
3283 510 0.0625
1681 2842 0.0625
1498 996 0.0625
655 2022 0.0625
276 2784 0.0625
271 48 0.125
468 467 0.0625
4 5 0.125
1193 1194 0.0625
806 680 0.0625
3293 326 0.0625
405 609 0.0625
48 3372 0.0625
2632 45 0.0625
505 587 0.125
1699 1869 0.0625
45 208 0.0625
470 2791 0.0625
181 37 0.0625
2324 2323 0.0625
507 1226 0.0625
1306 248 0.0625
2880 2217 0.0625
2303 3055 0.0625
679 1518 0.0625
1145 1094 0.0625
110 2147 0.125
1302 3339 0.0625
500 64 0.1875
679 1517 0.0625
2160 700 0.0625
60 694 0.0625
286 505 0.0625
1225 507 0.0625
3202 788 0.0625
952 351 0.0625
510 1179 0.0625
2528 731 0.0625
981 1516 0.0625
168 2047 0.0625
8 836 0.0625
3183 3419 0.0625
2036 656 0.0625
1767 25 0.125
2252 878 0.0625
1040 1341 0.0625
2487 124 0.125
2059 2060 0.0625
864 164 0.125
620 505 0.125
260 1365 0.0625
2235 1305 0.0625
428 294 0.0625
33 2182 0.0625
140 1396 0.0625
609 1927 0.0625
35 1850 0.0625
516 271 0.0625
310 40 0.0625
1073 718 0.0625
201 2645 0.0625
1415 545 0.0625
858 859 0.0625
529 2623 0.0625
19 126 0.0625
2368 2369 0.0625
2827 19 0.0625
264 2029 0.0625
2940 3559 0.0625
838 2592 0.0625
86 291 0.0625
505 620 0.125
44 554 0.0625
1534 576 0.0625
2326 1678 0.0625
2353 342 0.0625
978 308 0.0625
157 427 0.125
668 249 0.0625
130 2047 0.0625
157 934 0.1875
157 935 0.3125
1171 1012 0.0625
2001 44 0.125
364 2558 0.0625
793 435 0.0625
123 2179 0.0625
1344 1381 0.0625
2617 573 0.0625
68 3505 0.0625
68 3504 0.0625
2663 828 0.0625
2655 1306 0.0625
2857 2856 0.0625
3023 761 0.0625
3163 3162 0.0625
3201 1245 0.0625
2644 695 0.0625
1302 87 0.0625
3282 99 0.0625
2397 1280 0.0625
876 733 0.0625
3018 3017 0.0625
371 201 0.0625
2086 492 0.125
427 892 0.0625
2370 260 0.0625
1420 952 0.0625
516 681 0.0625
1098 1095 0.0625
1098 1097 0.0625
1098 1096 0.0625
152 985 0.0625
394 3587 0.0625
957 1178 0.0625
2661 1821 0.0625
1659 1181 0.0625
1172 1665 0.125
3024 3025 0.125
3565 52 0.0625
681 516 0.0625
1341 701 0.25
1183 173 0.0625
1931 806 0.0625
1931 807 0.0625
1172 86 0.125
2530 1927 0.0625
1402 361 0.0625
121 2042 0.0625
1162 1052 0.0625
936 2142 0.0625
3379 1678 0.0625
3339 221 0.0625
1347 169 0.0625
196 539 0.125
1560 2245 0.0625
3226 3227 0.0625
752 40 0.0625
1675 3120 0.0625
652 1814 0.0625
2203 791 0.0625
549 38 0.0625
2141 2140 0.0625
153 443 0.0625
910 230 0.0625
171 273 0.0625
582 951 0.125
